game_pk,game_date,season,game_type,status_code,doubleheader,game_number,home_id,home_abbr,away_id,away_abbr,venue_id,statsapi_path,statsapi_bytes,statsapi_sha256,savant_path,savant_rows,savant_bytes,savant_sha256
748195,2024-02-28,2024,S,F,N,1,142,MIN,110,BAL,2862,,,,,,,
748196,2024-02-28,2024,S,F,N,1,120,WSH,111,BOS,5000,,,,,,,
748167,2024-02-29,2024,S,F,N,1,140,TEX,158,MIL,2603,,,,,,,
748168,2024-02-29,2024,S,F,N,1,109,AZ,137,SF,4249,,,,,,,
748169,2024-02-29,2024,S,F,N,1,133,OAK,135,SD,2507,,,,,,,
748170,2024-02-29,2024,S,F,N,1,136,SEA,145,CWS,2530,,,,,,,
748171,2024-02-29,2024,S,F,N,1,113,CIN,119,LAD,3834,,,,,,,
748172,2024-02-29,2024,S,F,N,1,145,CWS,118,KC,3809,,,,,,,
748173,2024-02-29,2024,S,F,N,1,108,LAA,114,CLE,2500,,,,,,,
748174,2024-02-29,2024,S,F,N,1,112,CHC,115,COL,4629,,,,,,,
748175,2024-02-29,2024,S,F,N,1,139,TB,144,ATL,2534,,,,,,,
748176,2024-02-29,2024,S,F,N,1,141,TOR,143,PHI,2536,,,,,,,
748177,2024-02-29,2024,S,F,N,1,147,NYY,146,MIA,2523,,,,,,,
748178,2024-02-29,2024,S,F,N,1,144,ATL,142,MIN,5380,,,,,,,
748179,2024-02-29,2024,S,F,N,1,110,BAL,134,PIT,2508,,,,,,,
748180,2024-02-29,2024,S,F,N,1,138,STL,120,WSH,2520,,,,,,,
748181,2024-02-29,2024,S,F,N,1,117,HOU,121,NYM,5000,,,,,,,
748182,2024-02-29,2024,S,F,N,1,111,BOS,116,DET,4309,,,,,,,
748151,2024-03-01,2024,S,F,N,1,137,SF,140,TEX,2532,,,,,,,
748152,2024-03-01,2024,S,F,N,1,115,COL,136,SEA,4249,,,,,,,
748153,2024-03-01,2024,S,F,N,1,112,CHC,145,CWS,4629,,,,,,,
748154,2024-03-01,2024,S,F,N,1,118,KC,133,OAK,2603,,,,,,,
748155,2024-03-01,2024,S,F,N,1,158,MIL,135,SD,2518,,,,,,,
748156,2024-03-01,2024,S,F,N,1,113,CIN,109,AZ,3834,,,,,,,
