date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_info_url
03/01/2022,"Corpus Christi, TX",NA,9,top,0-7,Prairie View,A&M-Corpus Christi,D. Garcia grounded into double play ss to 2b to 1b (2-2)3a S. Coria out on the play.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,9,top,0-7,Prairie View,A&M-Corpus Christi,H: 1,https://stats.ncaa.org/contests/2169959/box_score
02/28/2022,"Corpus Christi, TX",NA,1,top,0-0,Pepperdine,A&M-Corpus Christi,SCHOEN struck out swinging (1-2).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,top,0-0,Pepperdine,A&M-Corpus Christi,PECK reached on an error by 3b (2-2).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,top,0-0,Pepperdine,A&M-Corpus Christi,BRADSHAW struck out swinging (0-2).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,top,0-0,Pepperdine,A&M-Corpus Christi,WALCZYKOWSKI struck out swinging (0-2).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,top,0-3,Pepperdine,A&M-Corpus Christi,E: 1 LOB: 1,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,bot,0-0,A&M-Corpus Christi,Pepperdine,"Markotic, L. walked (3-1).",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,bot,0-0,A&M-Corpus Christi,Pepperdine,"Ryan, B. walked (3-2)3a Markotic, L. advanced to second.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,bot,0-2,A&M-Corpus Christi,Pepperdine,"Johnson, Di. doubled to left field, 2 RBI (1-2)3a Ryan, B. scored3a Markotic, L. scored.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,bot,0-2,A&M-Corpus Christi,Pepperdine,"Caraway, J. flied out to cf (1-0)3a Johnson, Di. advanced to third.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,bot,0-3,A&M-Corpus Christi,Pepperdine,"Puls, M. reached on a fielder's choice, RBI (3-2)3a Johnson, Di. scored.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,bot,0-3,A&M-Corpus Christi,Pepperdine,"Taylor, J. struck out looking (2-2).",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,bot,0-3,A&M-Corpus Christi,Pepperdine,"Puls, M. stole second.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,bot,0-3,A&M-Corpus Christi,Pepperdine,"Chijin, S. hit by pitch (2-2).",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,bot,0-3,A&M-Corpus Christi,Pepperdine,"Queck, C. struck out swinging (0-2).",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,1,top,0-3,Pepperdine,A&M-Corpus Christi,R: 3 H: 1 LOB: 2,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,top,0-3,Pepperdine,A&M-Corpus Christi,JOHNSON hit by pitch (2-1).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,top,0-3,Pepperdine,A&M-Corpus Christi,MEHLHAFF walked (3-2)3a JOHNSON advanced to second.,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,top,0-3,Pepperdine,A&M-Corpus Christi,MALINCHAK struck out swinging (2-2).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,top,0-3,Pepperdine,A&M-Corpus Christi,CONLEY popped up to c (0-0).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,top,1-3,Pepperdine,A&M-Corpus Christi,"REBROOK singled up the middle, RBI (1-2)3a MEHLHAFF advanced to second3a JOHNSON scored.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,top,1-3,Pepperdine,A&M-Corpus Christi,SCHOEN grounded out to 2b (1-1).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-3,A&M-Corpus Christi,Pepperdine,"Linneweber,T walked (3-2).",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-3,A&M-Corpus Christi,Pepperdine,"Linneweber,T advanced to second on a balk.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-3,A&M-Corpus Christi,Pepperdine,"Markotic, L. singled to left field (0-1)3a Linneweber,T advanced to third.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-4,A&M-Corpus Christi,Pepperdine,"Ryan, B. doubled to left field, RBI (1-2)3a Markotic, L. advanced to third3a Linneweber,T scored.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-4,A&M-Corpus Christi,Pepperdine,WALKER to p for DIAMOND.,https://stats.ncaa.org/contests/2169795/box_score
