year,season_id,date,home_team,home_team_id,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,result,score,innings,slug,game_info_url,Date,Opponent,Result,opponent_slug
2020,15204,02/15/2020,Southeastern Okla.,1371,GAC,30144,/team/1371/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,NA,W,7-4,NA,/contests/1966131/box_score,https://stats.ncaa.org/contests/1966131/box_score,NA,NA,NA,NA
2020,15204,02/16/2020,Southeastern Okla.,1371,GAC,30144,/team/1371/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,NA,W,13-2,NA,/contests/1966322/box_score,https://stats.ncaa.org/contests/1966322/box_score,NA,NA,NA,NA
2020,15204,02/16/2020,Southeastern Okla.,1371,GAC,30144,/team/1371/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,NA,W,16-0,NA,/contests/1966388/box_score,https://stats.ncaa.org/contests/1966388/box_score,NA,NA,NA,NA
2020,15204,02/17/2020,Northeastern St.,12810,Mid-America Intercollegiate,883,/team/12810/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,NA,W,7-3,NA,/contests/1967589/box_score,https://stats.ncaa.org/contests/1967589/box_score,NA,NA,NA,NA
2020,15204,02/21/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Northwestern Okla.,30178,GAC,30144,/team/30178/15204,2,NA,W,7-1,NA,/contests/1831342/box_score,https://stats.ncaa.org/contests/1831342/box_score,NA,NA,NA,NA
2020,15204,02/22/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Northwestern Okla.,30178,GAC,30144,/team/30178/15204,2,NA,W,14-10,NA,/contests/1831611/box_score,https://stats.ncaa.org/contests/1831611/box_score,NA,NA,NA,NA
2020,15204,02/22/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Northwestern Okla.,30178,GAC,30144,/team/30178/15204,2,NA,W,12-7,NA,/contests/1847682/box_score,https://stats.ncaa.org/contests/1847682/box_score,NA,NA,NA,NA
2020,15204,02/25/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Central Okla.,1009,Mid-America Intercollegiate,883,/team/1009/15204,2,NA,L,9-14,NA,/contests/1832172/box_score,https://stats.ncaa.org/contests/1832172/box_score,NA,NA,NA,NA
2020,15204,02/28/2020,Henderson St.,1123,GAC,30144,/team/1123/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,NA,L,2-5,NA,/contests/1832482/box_score,https://stats.ncaa.org/contests/1832482/box_score,NA,NA,NA,NA
2020,15204,02/29/2020,Henderson St.,1123,GAC,30144,/team/1123/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,NA,L,5-15,NA,/contests/1832680/box_score,https://stats.ncaa.org/contests/1832680/box_score,NA,NA,NA,NA
2020,15204,02/29/2020,Henderson St.,1123,GAC,30144,/team/1123/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,NA,W,6-0,NA,/contests/1848770/box_score,https://stats.ncaa.org/contests/1848770/box_score,NA,NA,NA,NA
2020,15204,03/03/2020,East Central,8965,GAC,30144,/team/8965/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,NA,W,7-3,NA,/contests/1833391/box_score,https://stats.ncaa.org/contests/1833391/box_score,NA,NA,NA,NA
2020,15204,03/06/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Ouachita Baptist,1289,GAC,30144,/team/1289/15204,2,NA,W,11-1,NA,/contests/1833917/box_score,https://stats.ncaa.org/contests/1833917/box_score,NA,NA,NA,NA
